USERINFO_DATA
birthdate;nickname;pwd
aboylandf5;UgbDnXw;10-Mar-1997
cfurneyf6;myvBn1xADY;09-May-1999
ldoucettef7;8o7qzR2;25-Jul-1998
lredonf8;UvNMbiv;07-Feb-1999
oquinnellf9;U5nphVH2;06-Sep-2000
jwoodagefa;9gXexHMjIU;04-Oct-1997
sverrillfb;HJNVhMBn;12-Jul-1998
bunsteadfc;yAszBlccmVpw;06-Sep-2000
kbaumfordfd;Kx92PHQzYK;03-Jun-2000
jfranyfe;eXBh390bT0;26-Nov-2000
dmammattff;kwHZ2HbjAqXu;04-Mar-2000
chousemanfg;04Fqmpewdld;14-Aug-2000
cpaydonfh;ckxaFpeQ;21-Feb-2000
bhulattfi;SRQtq1gcW;05-Aug-1998
crathefj;7UY4oM8kq;21-Feb-1997
kdickersonfk;27aTeAZhGAw;15-Aug-1997
bziemenfl;9eGd7zErBKW;06-Dec-1998
aoglefm;XFWQAom;02-Aug-1998
clemeryfn;esqYJpCcF4i;03-Mar-1998
hpeadenfo;hPchj0;02-Nov-1999
wdraudefp;7IGXXG;15-Oct-1998
ipeintonfq;tZiw46rtr4;28-Dec-2000
nivanilovfr;ZsmcoR512Oil;24-Apr-1999
ejirakfs;rEhZJRbohkj;14-Apr-1997
vlandonft;VrzCOoy;22-Dec-2000
kruddlefu;I5bhnTziyW;10-Aug-1999
atomaszewskifv;nv142W;02-Jul-1997
swellanfw;fYOvaCCG;05-May-1998
emistryfx;rYfflb9;09-May-1997
djeremaesfy;F7notfBH5H;27-Apr-1997
efallafz;7FY0TPiAoK;02-Aug-1998
frogerotg0;J2zpzwV6Xs8;03-May-1998
lrobertuccig1;vBJIlmJTxsd;15-Jun-1998
rdorrityg2;0oGDXdfpwg;05-Aug-1999
jcoffing3;gbcWJb26iGET;28-Nov-2000
ksiemianowiczg4;I5Yn4dn77iD;04-Jan-1998
rmyersg5;JKQ0eKMB;26-Oct-2000
nwelberryg6;sBta6DbTFemw;13-Oct-1997
mpaxmang7;W9Sj0Wdvq;20-Mar-1999
acoronag8;Y7H214AIS2qS;13-Nov-1997
kgunningg9;BTgdghnW5t6;30-Aug-2000
clebretondelavieuvillega;D1jwMlJr;15-Oct-1997
nmctrusteygb;3JJKvZjMcxT;31-Jan-2000
dlockheadgc;lIR2hGuB5;22-May-1998
hbovisgd;wnNMqhz1r;20-Mar-1997
rlaffordge;MythJnGObN;30-Mar-1997
zbutfieldgf;pEA0UQTdYo6g;02-Dec-1998
lelleraygg;QV1qoeCXV;06-Nov-1998
mfeildgh;Fm0qDCnacW;17-Dec-1998
eskermgi;f1avD9bV;24-Jan-1997
bgussiegj;XFflgRblY7;22-Oct-1997
rsawleygk;uPWMnTawh0b;28-Mar-1997
rmccrumgl;BrJm7R35Fix;21-Nov-1997
dboullengm;NqDYseiQvY8K;01-Jul-1998
lmcfadzeangn;qadLXmw0f;21-Sep-1997
mboshellgo;6vpwzEzqh6ap;14-Jan-1999
khukingp;yYvGxWt3wzA;07-Nov-1997
shenriquegq;XCuiD0Y0N;08-Jan-2000
wlamzedgr;XaLtoSXfDXLQ;20-Jul-1997
sminillogs;Cl09inbIDY;14-Jan-1997
aelnoughgt;UCcDljbOfy;20-Oct-1998
mvinnicombegu;3jpd4t6;11-Dec-1998
scokegv;uNP98gKCdRk;01-Aug-1998
lsperlinggw;NAMZWV;16-Feb-1999
kviggarsgx;z97pbpONRe9;22-May-1998
lbarbrookgy;jdAgzXeq9B;26-Feb-2000
rleongz;Ik6n2B;06-Nov-2000
npickavanceh0;ptKEXYZbgm;09-Apr-1998
voxenburyh1;YP7kUT;13-Dec-1997
ncopinh2;cVJZuTSK3de4;23-Jan-1998
rchaterh3;XKe6OumgXO;07-Nov-1999
shabeshawh4;68ppLvt6Fia;15-Sep-1999
kgrigoreyh5;nXTW0NU7;03-Apr-2000
edroverh6;Rv6L1hO2e;22-Jun-1998
mgainforth7;qZ5sbXBZGRn;11-Oct-1999
sdelacrouxh8;WspGKzJ;12-May-1999
tsnelmanh9;4txsFFkw8cO;12-Apr-1999
cfrostdykeha;sPfQbJ6ZzOVe;17-Jul-1999
hwoodrooffehb;1QBoUM;09-Nov-1999
mmattiassihc;qMzWy3jB;16-Dec-1998
dwindsorhd;o8c9e8m2W;16-Dec-1999
maskwithhe;iY1Z1hyh;30-Mar-1998
chaightonhf;XljVYKyi;07-May-1999
vcrosihg;XujM7AqKKu4;09-Aug-1997
cbelzhh;x7ghd6Nk;20-Mar-1999
kdinninghi;DFcNtKiR;19-Mar-1998
mdunyhj;PHNhnVe7B;14-Dec-1997
kklimenthk;W57QYhNVz;14-Sep-1997
rfedorskihl;JDWJzB7;31-Mar-1999
seneashm;OwU2pBtGxr;01-May-1998
iakhursthn;l9itYFdae;28-Feb-1999
rpilmerho;LKJWKyFgn;26-Jul-1998
clawiehp;qev6PkpG;21-Mar-1999
lpoundfordhq;jKQvj2ir;06-Dec-1997
mhallinghr;JhODBdO9;04-Jun-2000
tmacgillicuddyhs;YAenHllHEl;10-Feb-1998
cstratheht;baEgOlsUhF3L;19-May-1999
tlotonhu;UP3iFEU7H;27-Nov-2000
vsleitehv;4Oxv8DK;22-Jun-1997
hglasscotthw;XID2FhG8M98;14-Apr-2000
meyamhx;jkgxFrSf3c7g;24-Jun-1998
sluciushy;vZlkVvCjO9;08-Sep-1999
gmardenhz;jtzizEc;14-Nov-2000
lsparkwilli0;SK2baupT;16-Jan-1999
lfassbenderi1;byvIKQqk;12-Mar-1998
cvangiffeni2;AoLHEn4t;20-Mar-1999
shutleyi3;N5BjBTh;31-Jul-2000
bshuggi4;XRwVwCu;08-Apr-1997
ekimei5;hYvAWv4nNdGW;15-Jul-2000
cdudgeoni6;yXpuOd;19-Nov-1997
mcrosettii7;NjuDudI6;20-Feb-2000
eackroydi8;SrvM9a4RaZ;30-Aug-1999
sklosteri9;vwgoUA;19-Jun-1999
lvaninia;vi0hbV;05-Mar-1998
lwincerib;goUAPwtsSCY4;25-Mar-1999
mthameic;ud290uqz2a0;12-Jan-2000
ekemballid;OYywiiuQ4pyL;30-May-1998
briggie;iGt901h;08-Apr-1997
rmacgiollapheadairif;ipAKSCg;27-Oct-1999
ccicconeig;hqL1RBD;24-Jan-1997
odavidovitsih;m5AEGX7c;17-Nov-2000
iswainsii;JKv4zA0y0;09-Apr-1998
mgooseij;8nNxupt;07-Sep-1999
cschruyerik;84bms2A6;17-Jun-2000
jscreasil;6iqMssJNMyM;06-May-1998
cmoyeim;ZumkbCY88mPE;27-Feb-1999
ptreein;NCzcvCwhSEfX;28-Jul-2000
agippio;MJuz5m3qnvo;04-Jun-1999
clongegaip;QLfof3tK8FcP;25-Oct-2000
nfeckeyiq;yKUWSFOaqCgP;30-Sep-1999
zmckagir;uOnpVHdXM;18-Jun-1998
achurchillis;eijod0afu6;15-Oct-1999
scarpeit;d6ga5yRB3T;12-Feb-1998
ggeikieiu;vSYATU4oC;02-Mar-1997
leadmeadsiv;SRHZvE;03-May-1997
bcastertoniw;47A8vwlOL;22-Aug-1997
ijacobszix;k9NQqfa;31-Jul-1999
adumbralliy;yZeXma7JW6;14-Jun-1998
tinghamiz;nvbhUMujOkO;25-Jul-1998
rfidlerj0;CasgkcWSZx;05-Aug-2000
jcapineerj1;AydJAdWR0dFI;15-Sep-1997
franyj2;DlVx6ZO;13-Dec-1999
speetej3;8b4j73pDHi;17-Apr-2000
cbuddenj4;nkGFp78;19-Aug-1997
anormanellj5;ecrCefnzU;22-Nov-1997
jdowningj6;kO8ybUZR7;11-Nov-2000
rmundallj7;9QyMX1t;21-Feb-1999
wcasaccioj8;t9u21iRaWvm3;17-Sep-1997
mfilyakovj9;fbiCmg5RYa;30-Oct-1998
wfarryannja;pHzI9PKEi8H;05-May-1998
ypladenjb;8kkjnFklV;20-Dec-1997
khitzschkejc;brGgth;11-Jul-1998
msimpkinjd;r65KaB1s;23-Sep-2000
vscotchbourougeje;PDTTMEDSBU;04-Jun-2000
juccelijf;sf148c1PK;22-Feb-1999
pminoguejg;QtblRM;25-Feb-1999
ctruettjh;dAUUovxb;07-Sep-1998
bkillinerji;3AQebS50hEf;13-Jan-1999
agozneyjj;WEuUVZ;08-Jul-1997
joxenburyjk;cYi6qBA;28-Dec-2000
ipassinghamjl;f9V7TuTT3;22-Jun-2000
aschrineljm;Y6I3f13fH72;14-Jan-1997
nforsdykejn;HUbjbEiTwJs8;04-Mar-2000
cstockmanjo;NMpA56GQDu;19-Mar-2000
snapolijp;6YxQR2;14-Apr-2000
jbernardonijq;0EoddTsW;26-Jul-1998
amcneejr;X7gcUv;02-Feb-2000
pbickerdikejs;D1gJpe5JyfC;22-May-1997
dtatersalejt;OmLEKXbmKq;05-Aug-1997
plefrancju;aFXg8d;27-Nov-1998
mvalentinettijv;XsvYEdu;03-Jul-2000
wflandersjw;k4tk2Fz7Vvf;20-Aug-1998
sbieverjx;YAvvUnd;22-Jun-1997
lmoxhamjy;0bPuvwgeVJd;24-Sep-1999
bbeccerajz;FuVPYL;15-Sep-1998
bedgerlyk0;sOVViTcsY;08-Nov-2000
ruccelik1;bJjT9PE0uI;14-Sep-1999
whussetk2;Eu6m9u;02-Feb-1998
jfendtk3;whl7GOMQDQR;13-Oct-2000
mmollisonk4;62PjNQ4iUI;20-Dec-1998
ewalklettk5;TrsyQl2rpy;01-Mar-1997
pbevingtonk6;9SSD7P4;05-Apr-1997
ntincknellk7;tVirMuYS;16-Feb-2000
tmapesk8;mQheNCiu7;21-Jan-2000
jhoytk9;JXt21Ne;10-Nov-1997
rjosephsenka;86Bm872Dq0;24-Aug-1997
rschiellkb;y5zUZN6m;25-Mar-1999
idownhamkc;utEfVXAEy4cI;06-Oct-1998
irumboldkd;7yUiHce;11-Sep-1998
lcowthardke;eoREFedhsT;22-Mar-1999
amacknockiterkf;8x3Tbi5Ie;27-May-1998
dcayetkg;beSOUgj8pE;28-Feb-1998
lgaynsfordkh;1PeTT0u2c9;31-Dec-1998
kstansellki;y4lWByBK1;02-May-1997
awhimpkj;PJp1Ut;25-Oct-1999
ngettinskk;dnROHSSBPf;03-Jan-1999
jdolligonkl;TlOSoqVc;24-Jun-1998
gsinncockkm;JBJwmc;02-Jun-1997
gbehrendkn;MzfWedWN;26-May-1998
rmackleyko;oFILH9fwdLFx;12-Sep-1998
fharbourkp;b25Gh7RVBp;21-Apr-2000
rohoeykq;fGsvsNvjFc;20-Apr-1997
dkeasleykr;xyOMquAyB;16-Feb-1998
crosenbuschks;hULY43f;26-Jul-1998
afaughnykt;3SLull;22-Nov-1998
hwishkarku;lauxRsbl3oh;26-Jun-1999
skefordkv;pWck8DZLA1;20-Dec-1997
dmatyaskw;GpoMjwW23;03-Oct-1997
efergiekx;gE5DV2;31-Mar-1997
cbinleyky;mLm1EdCgn;31-Jul-1997
rlaurandkz;lbhPXf7om;21-Mar-2000
cmcginnisl0;ldataOqkOTK;06-Jun-1999
vbisleyl1;3WJ0O0;04-May-2000
rboshersl2;Shqoy6H;18-Apr-1999
cblonfieldl3;jpBrqHiAsc9;18-Aug-1997
bleaheyl4;4QVk1j;18-Jul-1998
hstrethilll5;WH7mbOfyLdBz;27-Jan-2000
lmcpeetersl6;LLtgEZU;19-Nov-2000
tboichl7;VjEhU4;17-Oct-2000
sgumlyl8;ADXzXPBWR;21-Jul-1997
ecreedl9;WWq02IOY1r;10-Nov-1999
klangthornela;oQF8qq24k;22-Nov-1998
jewelllb;kmrVqP;05-Nov-2000
rgemsonlc;dHrbQzDgiU;30-Nov-1998
chodgenld;4IrYDXTdyCQ;14-Jun-1999
dduckerle;YPDqLbPAYGVp;24-Sep-2000
acastlakelf;J1jqsphqVkVT;22-Oct-2000
gmattialg;5lLenNX3yk9;01-Apr-2000
tmarlinlh;WMvMf3DLH629;21-Apr-1997
mdomokosli;x5ghn1EdlrRf;10-Oct-2000
dohannenlj;Np34p9iVev;30-Dec-1997
bmattschaslk;RLscWzupOL;27-Sep-1998
ccullinanll;B48CaBUm0;02-Jan-2001
anewhouselm;1cDcv2qOtv;04-Dec-1997
jkiggelln;QVNvaltjUf;29-Feb-2000
mbernilo;duDvsw;16-Dec-1999
mkimberlp;DUQtbUnrSjcw;21-Mar-2000
gsimenotlq;gJIUaVSqXS;07-Jun-1998
kwhatsizelr;tdbs17UXiHxr;03-Sep-1998
rmasseols;pBmbKS;21-Sep-2000
mwaghornlt;HXZey92kpO8;07-Jun-2000
bmockettlu;zOJ7LI;07-Mar-1997
ovoiseylv;UEHnJm3;11-Feb-1998
fvansaltsberglw;Bz6o6nHV;31-Dec-1997
bcardellolx;8rjIiF;11-Jan-2001
strollopely;8irYqQf;20-Apr-1997
eflecknoelz;GCm6ffq;18-Dec-2000
dtrankm0;a1c12VXlTZ8;30-Jul-1997
djosem1;nuBHzj8JU;20-Mar-1998
pcarabetm2;cpYmvKA;07-Jun-1999
bkiwitzm3;pMUyaJqsy5j;07-Nov-1998
mjoelm4;b20yjnVWhzbR;18-Nov-2000
bsailesm5;JT5IIy61b;03-Apr-1997
rbaudassim6;WtjCxcTSvF4;06-Jun-1997
cguerrem7;ageBRMC;08-Aug-1999
jslitem8;AXN3WEHA;12-Jun-1998
bmeadowsm9;UyQbj3RCjoqB;24-Nov-1998
rmacianma;prL2Cy0;27-Apr-1997
tkiledalmb;vOJ1aghA;12-Aug-1998
fhindermc;waf4PG;04-Dec-1998
bhaynesfordmd;o4d2491NRr;18-Sep-1997
jcantime;HaV4mXuJko1f;25-May-1997
whiggenmf;TxMUnRjAoFA7;04-Sep-2000
emassymg;Hyjyuu7dD;15-Jun-1997
cmordecaimh;KVJlVbaJb;20-Sep-1997
jlabbemi;1VAXPjkzpJR;30-Mar-1998
jgoodacremj;wCyNzIHi;12-Dec-1999
dborrowmk;LmFQ7DhfNU;20-Aug-1998
bhenzleyml;ocanrxfeJT;21-Dec-1999
gcutcheymm;3JUeGr;02-Dec-2000
sjancikmn;HufMxH;11-Nov-1999
bclowmo;2BjtY7ZLRNs5;27-Mar-1999
seshmp;6lcPhFSCe;25-Apr-2000
slivesleymq;GcVFrkovCGKa;27-Dec-1997
jvicareymr;dePFxykLfkRo;06-May-1997
lcussinsms;pjacu7vaavc;27-Jan-1997
wswinyardmt;YfMo3MxB3;23-Feb-1997
bcraydonmu;98SyzTp6CN;26-Dec-2000
aorthmv;W2Mwto6o;06-Oct-1999
ccronemw;fYT5XhgHzPVq;14-Jul-2000
vscogganmx;5MXQxbqrLh;07-Feb-1998
cmolohanmy;hm28kPgu7;11-Sep-1998
lpentycostmz;VeWtV3E37B4a;03-May-1999
stamlettn0;VgliPmTG2;01-Nov-2000
bantonettin1;2q2MIFH93;08-Jun-1999
adevilen2;AsED3dd;20-Jan-1998
cdarbenn3;bJFHDwm;22-Jun-1999
csharpleyn4;TsEXC7BS4GRJ;13-Aug-1997
jpirouetn5;Vp9iNn;28-Jul-1999
sgiorgeschin6;1R8PHMJATKmd;08-Jun-1998
pomann7;71A8C9rnG;25-Apr-1997
tlibrin8;rWzXhSEAi;23-Jan-1999
ldennyn9;TemSCHIyN;09-Nov-1999
aorrocksna;4SGZQEmg;07-Nov-1999
telfleetnb;C0emwA60;01-Oct-1997
hfehnersnc;3sJjzc;31-Jul-1998
cjoslinnd;NcfEwPpF;23-May-1999
abrunonene;6UaIytFV2lc;22-Mar-1997
rberdalenf;yicvhZLol;16-Oct-1997
ereameng;69Xl57C;30-Oct-1999
rdisneynh;neqSv5R33x8K;15-Aug-1997
pbleezeni;BbW9j9H70;07-Aug-1999
pfrawleynj;MM2CUoJZ;23-Dec-1998
jdowdank;tz6VZfeCADzX;19-Mar-1997
rameynl;CNPPHuk;29-Dec-1997
cbriandnm;lIqYRqV;01-Apr-1999
cclearleynn;UWNscrEeDMs;18-Mar-1999
bparffreyno;dxmbU4I;13-Dec-1999
badamonp;aWxW3AuSj;08-Jun-1997
mpawlingnq;MZBh9PvZwZU;24-May-1997
rdyternr;wT35jjntxr13;04-Nov-1999
vfullilovens;QcTMeOdxsxNU;09-Jan-2001
byashnovnt;lYt28GOy;21-Mar-1999
lreardennu;3XbcyXHT;12-Sep-1998
ckeavesnv;doO7pwI;24-Dec-2000
bkiltynw;SEZdcuUQv0;09-Oct-1998
ccolegrovenx;caW4hho5;06-Apr-1999
lmacneiceny;nXE6kLZaMIkG;07-Apr-1999
sfretsonnz;bs51Qud66;10-Nov-1999
cwelldrakeo0;dtkpBC5vztR;07-Nov-2000
mthaxtero1;nBvr682;29-Aug-1999
irecherto2;iOLXiD;24-Jan-1998
pbellocho3;f7xVsP;31-Jul-1999
lwiburno4;vCR8xylw;18-Apr-2000
jkynclo5;gFYCL3iCXjV;15-Feb-2000
ebeveno6;Es95dGfeUsK;24-Mar-1998
rmalafeo7;J2KRuqAjtL7b;03-Jun-1997
bdallano8;XeCQDK7cv;02-Dec-1997
mgingelo9;GqVUlAVv3H;29-Apr-1998
sgritsaevoa;tZtxtwRJ7;15-Jun-1997
gpallinob;sgcJ493e;25-Feb-1999
rtryoc;ykl2PKxwqZ;23-Oct-2000
mmcinallyod;z9tdmkX8CG;16-Feb-2000
scollingridgeoe;VXp5Ytc00j;02-Nov-1999
vmacbeanof;p0LRjig;08-Jan-1998
sbyllamog;L2uhDuJelzbM;17-Mar-2000
eobyrneoh;C0mo5U;27-Dec-1997
mhaizeldenoi;PeiIc5;20-Jun-1998
tgillbeoj;VTCEbcWts;11-Sep-1998
gpetronisok;muchSEfr2O;10-Apr-1999
wkochlinol;F7XSeUyo;03-Nov-1999
gentreisom;FvxyRx;24-Sep-1997
wgrethamon;Q3Cjn5KmU9PA;10-Jun-2000
hewinoo;dtGrsJfsK;20-May-1997
tbulgenop;sODtke6;15-Dec-1998
tpirotoq;GTjcGhnx;28-Aug-1999
escamerdineor;XjTVGPGxF;04-May-2000
bpouckos;ZqFomv;24-Mar-1999
dbeedhamot;hsF8DW;05-Aug-1999
dshielou;EKP7WeA;03-Feb-1999
rwinklessov;SBYhNWspn;23-Jun-1998
aconnahow;stYrufUP;09-Oct-1998
deskriggox;0iY0mQal5Q;15-Apr-1999
lmathiasenoy;u1dUISN;05-Apr-2000
otschierseoz;BRM92Lvqc;31-Jan-1998
espargop0;bcKttwJc;03-Mar-2000
vmalkiep1;Pt3vKarawCt;31-Jul-1997
craggattp2;OeAhYLo6M;01-Jan-2001
llavenp3;Jgm7U0;16-Nov-2000
hgymblettp4;li6TPr3W;26-Feb-1998
jmongerp5;gyCWKmSmEB;22-Apr-1999
bfairlamp6;12TFg4iCzUD;10-Jan-2000
fyesipovp7;9AFp3pLSltwN;05-Mar-1999
jcherryp8;Ot4HUkJ;30-Apr-2000
aeasterbrookp9;KTqJIPx;20-Sep-1998
ajedrzejewskipa;7AQWga7GtqYv;27-Oct-1998
dpeagrimpb;mRa17wn;26-Jul-1997
wdarringtonpc;MjvEzV;17-Dec-1998
akimblenpd;1vGn8ChwvE;17-Jan-1997
ccliftpe;1GInOQiH;25-Sep-1997
kjaynespf;OKsHYpDPU2Lq;04-Jun-1997
bsimekpg;ax8MSKRB;03-Nov-1998
cspongph;Iki10beBx8g;12-Nov-1998
jvanyakinpi;GP7dIJUL;09-Jun-1998
njerdeinpj;wt8xzbgV;20-Apr-1999
lklimovpk;bk4bzdvzQS2p;17-Nov-1997
mparlettpl;jBOH59S3f;04-Dec-1998
nmurtypm;dfegnOFSXP;18-Mar-1998
mhanleypn;2fR6DCJ;05-Dec-1997
anieldpo;HATkYa7m9sa;06-Dec-1999
blastepp;an5m58jZ;16-Jun-1999
smeinpq;gkBAuWlR;15-Jun-1997
cstoppardpr;lRYpok;05-Feb-1998
lpayleps;l0NV1xyIk;31-Jul-1997
jhearlpt;iznv7QHP;12-Jul-1999
rliggonspu;fmkmY6RjJ;02-Feb-1999
jilyinykhpv;ic6ALwI;20-Mar-1999
gterbeekpw;qMksNoK54;16-Sep-1998
bbiggerdikepx;gKIWbZ;20-Mar-1997
ncolleckpy;gh9TGtU;01-Jan-1999
lpawlikpz;jxeUJTAau;01-Sep-1999
ghughsonq0;iv81DO4MeHD;28-May-1999
yswateridgeq1;HlIGo7;31-May-1997
adunphieq2;0D25lTr01a;01-Nov-1999
hblaskeq3;SYOtIM8s9;03-Mar-1999
tciciariq4;dCSWcrqO;11-Aug-1998
mvinaq5;kalC5PRIHL;30-Apr-1998
cmcveyq6;ktcBBRs;21-Aug-1997
eharkesq7;GKffgn7;11-Nov-1999
zboyallq8;9ipZuALOCmuO;23-Jan-1997
dbattershallq9;c2DniOr4nF;06-Oct-1997
asalwayqa;Fpv5by3f;19-Jul-1998
calennikovqb;bZm0Jo;08-Nov-1999
ayardleyqc;kowqhUZeZ;13-Jun-1998
bdelcastelqd;P2nw5a9F8tQQ;21-Feb-1999
ltattooqe;lGad82BU;14-Mar-2000
ekayneqf;IRPE4zjBWDGN;25-May-1997
fheathcoteqg;HSDBDrS8p;17-Nov-1998
mboltonqh;1ZtII0L5dGY;30-May-1998
mlilburneqi;MTkXNbvAGeEh;30-Sep-1999
egammetqj;vNWUny;27-Mar-1999
jfulgerqk;0ff3g24XxYR;07-Aug-2000
togelsbyql;3vn71VGtHm;14-Mar-2000
scaulcottqm;GFKCsJn;17-Jul-1998
vbernliqn;yTQrcQR1XBns;04-Sep-2000
jchisnallqo;8gHgmKw3;07-Jul-2000
mbilbyqp;GgdW7yW1ScG6;31-Oct-1997
imangerqq;iJaozTUsmP;20-Mar-1999
biacopiniqr;ggQxzfja60;02-Nov-1999
nambroixqs;9Q4gutOA2hF;11-Feb-1998
morchardqt;QWJLR1C;12-Apr-1999
hforstallqu;gaAGDANebMI;02-Jan-2001
mgoreisrqv;oTDJ0ZIrN;20-Mar-1998
nbengefieldqw;frAhjvR264Y;20-Jan-1998
aprynqx;leC42mR;27-Apr-2000
flowryqy;rtovqG;24-Jan-1999
minglissqz;Z0vwgPxvGmA5;08-Nov-1999
cbrimbler0;1SaM37WlZ;17-May-2000
agreenmonr1;9wD22zyNXyq7;26-Apr-1997
ltreacherr2;RkrlsoK;04-Nov-1998
fcloutr3;EzxGoeE7;08-Aug-1999
hjahnerr4;PN1BawB;14-Sep-1999
tchatelr5;wGZvUnLMRU;03-Jan-2000
jschlaghr6;2lMbNgdszS;24-Jun-1997
pcordeaur7;HYzBhnxqg9e;23-Mar-2000
jpedreschir8;9dEdS4rY2fS;16-Aug-1997
amuccinor9;PiYC7Z4snQcH;26-Jan-2000
cshetliffra;5yaanhrb9yMQ;06-Oct-2000
anehlrb;ToUDxC;04-Sep-1997
mdrainsrc;05xbUSEc4hE;02-May-1999
apedrozzird;dtbmKjEifPkf;17-Sep-1999
bswancottre;tzYRgT;12-Aug-1998
mdanherrf;BXwQHNe9;18-Jan-2000
eohararg;CHiWdP;11-Jun-1997
gcameronrh;RBAzm7BS;18-Mar-2000
atanswillri;uH05tAWXIYJI;20-Apr-1997
jhessenthalerrj;fjoFAmtiP5;26-Apr-2000
crichtrk;7YMaqy;02-Apr-1998
dattryderl;ljKWk3EaVYx;10-Sep-1997
myounierm;Mj7uL1pos;20-Jan-1997
dbahiarn;8wVSwm8IFT;23-Feb-1997
rweaferro;HmehzPCQ6XXh;05-Mar-1999
mcardosorp;mndtYG4;13-Aug-2000
eballerq;cK8YVveTN;27-Nov-1998
vkamienskirr;mOmIdm5owEIs;19-Aug-1998
rgerritsma0;PCVUaXw0Mvz;30-Dec-2000
aduff1;uPTLas45T;27-Jun-2000
hocosgra2;V044mpyY;08-May-1998
hhaggar3;z0sp5vEk;19-May-2000
rgulk4;9Ly23Zg21;26-Jan-1999
tlamyman5;2oo7j1BzL;27-Apr-1999
aburburough6;i5ISVTo;12-Feb-2000
bdelea7;L7HR2g6y7hS7;08-Dec-1998
tludman8;UqPfWVt;31-May-1999
gwharin9;CNR7s2SWwN;26-Dec-1999
wradouxa;40XVMduL7BD6;03-Jun-1997
eclemowb;KVMnLB64iN;08-Feb-1999
smcdoualc;CFhzCmYwCEkQ;20-Aug-2000
jgiacomellod;EeqQ7bcRWFgU;13-Jan-1998
estealye;c5pplGLj9;06-Mar-1998
hsailesf;TITY4zHaoazh;24-Jan-1999
ckidstoung;TmaEOlQ5lK5;28-Jul-2000
jhurdissh;FKdUkLORqe;03-Dec-1997
smeccoi;IBv5DOhLNkV5;16-Oct-1999
mchyuertonj;2y4VHRqqcy;25-Sep-1999
rkornelk;Z5jZEWbfg;25-Sep-2000
norael;gxupUn;08-Jan-2001
rlazenbym;kjesI6WgdU;01-Oct-2000
mmaycockn;JKVbVaQWA;23-Dec-1998
gscritcho;6y4INjRKK;24-Oct-1997
owaycotp;qQ8g8JIHMO;08-Oct-1998
aruecastleq;ZlgELe1qkX;15-Apr-1997
atidyr;uVL67mK6;09-Oct-1997
tpenhalls;9HBuxq0;18-Feb-1997
lcleughert;QN0TYx;28-Dec-1997
mfranklenu;QZOxSY4;28-Apr-1997
hlaythamv;oLo6b9pKi7;21-Jun-1997
bopdenorthw;COQfkpcdd;20-Nov-2000
arobkenx;AoYXw4j4MA;05-Mar-1999
lpinery;x8IEuOza;07-Dec-1999
gdilkesz;e7mqv2J0CiC;14-Apr-2000
sholliar10;QT1EJJDiPK;21-Feb-1998
cthorp11;qZeoP5h0VoTX;08-Sep-1998
jliddington12;qqryFzHrTe;18-Feb-1998
lshemming13;2pEgqz;21-Dec-1999
kemmison14;fxVkYgC;30-Nov-1999
mjennings15;zxNVMCM;17-Aug-1997
zeltune16;ut7egk2bs8Uc;19-Oct-1998
nhollyard17;pcuJ1QqJ;16-Oct-1999
rmarginson18;Gnx2LYAOtD0T;24-Jan-1999
aspeariett19;zFkdzZ;29-Jun-2000
dbodman1a;ZfC9NSB;28-Apr-2000
wfeltoe1b;Pv169SuKA;02-Aug-1997
femmens1c;4rN7p3;18-Apr-1999
lsiemantel1d;KLm425wA;16-Oct-1999
mvallis1e;3LQ6yc;17-Jan-2000
eadel1f;upzPLhQW3;03-Jun-2000
eegel1g;ld5oQ4;09-Jun-1998
siacovazzi1h;rKL6AexTi8;18-Jan-1997
pogeneay1i;Uc4LFP;25-Dec-2000
enutkins1j;wAvMZEQZnsy6;23-May-1997
pcornelissen1k;4zXoHUmnxm;03-Mar-1999
lscherer1l;fqu16nU5;24-Mar-1997
ucostin1m;LmhCMOeK7;05-Jun-1999
maplin1n;UKoaMdVUf;02-Feb-2000
rcadge1o;B4eyjvMg;07-Jan-2000
mtidcomb1p;sTdqrbckIE6A;03-Mar-1999
afilip1q;NDgI9ze;22-Sep-2000
cdunk1r;aOnXxO2gB;27-Dec-1997
bburnard1s;CEXnRnN;26-May-2000
mmerton1t;jZ0ftUVdkwNN;12-Sep-1998
gstyche1u;4T5pu2yQ;18-Apr-1998
tdancy1v;dFzTSZz1hTBW;31-May-1997
ntregonna1w;6ycn4SMalpqC;03-Apr-2000
atatersale1x;yibfEM;10-Sep-1999
bkeays1y;NOA3kPfy;22-Oct-1999
bworld1z;KDXWzTUR;11-Dec-1997
mrickford20;YOkj5b;29-Mar-1998
wdohmann21;Eao6M5Ulfj7O;11-Sep-1997
bbirtwell22;NIFjBueS;08-Oct-2000
lcolquitt23;66z0bC8k;02-Apr-2000
atourmell24;L5evv3;10-Feb-1999
jwindebank25;n3YI3Vi;12-Feb-1998
cchicchetto26;ppfyh6tLh;28-Jan-1999
smackintosh27;kMcyjtiVmqw;19-Feb-1998
ckemble28;JSeWh2tgMX;27-Jan-1998
bdoyle29;cVxlZ9CCWC;30-May-1998
akalisz2a;YRbwVab;31-Aug-1998
jtollerton2b;N8sWe1fPOpI;08-Oct-1997
dcapron2c;0xtFZwA;15-Mar-1997
rcassius2d;glPD72R7kmi6;07-Jan-1998
mbraybrooks2e;WpTctkg;07-Sep-1997
